key,en,fr
GAME_NAME,Kyukodo,Kyukodo
GAME_TAGLINE,Setup the planet,Préparation de planète
MAIN_START_BUTTON,START,DÉMARRER
MAIN_CREDITS_BUTTON,CREDITS,CRÉDITS
MAIN_QUIT_BUTTON,QUIT,QUITTER
QUIT_CONFIRM_TEXT,"You are quitting the game, are you sure?","Tu vas quitter le jeu, tu es sûr ?"
QUIT_CONFIRM_BUTTON,Quit,Quitter
QUIT_CONFIRM_CANCEL,Cancel,Annuler
CONSOLE_INPUT_PLACEHOLDER,Enter command here…,Entre une commande ici…
CONSOLE_INPUT_SUBMIT,Submit,Envoyer
CREDITS_TAGLINE,Credits,Crédits
CREDITS_TITLE_N_AUTHOR,[b]{title}[/b] by [b]{author}[/b],[b]{title}[/b] par [b]{author}[/b]
CREDITS_BACK_BUTTON,BACK,RETOUR
ITEM_USE_BUTTON,Use,Utiliser
ITEM_DROP_BUTTON,Drop,Jeter
RESOURCE_COLLECT_WITH,Collect with,Récolter avec
